model_1.h5,model_2.h5,model_3.h5,model_4.h5,model_5.h5,model_6.h5,model_7.h5,model_8.h5,label
0.044335097,0.0035302623,0.15808643,0.0041554463,0.020777736,0.019864546,0.0645224,0.047096647,0
0.5264865,0.64360064,0.21583146,0.19128151,0.103401944,0.3293628,0.17728817,0.14160307,0
0.5371653,0.0025183049,0.21206933,0.18457052,0.38095012,0.5232632,0.4041661,0.58614063,0
0.13253106,0.11714712,0.12355069,0.06688489,0.1745136,0.05798128,0.13910083,0.5062928,0
0.3609499,0.22019693,0.09653273,0.50835854,0.21075436,0.54198754,0.3238471,0.7265661,0
0.7781765,0.9574437,0.3438216,0.9416717,0.94291747,0.89337337,0.9463817,0.839296,0
0.27355015,0.0014029979,0.03165673,0.48348662,0.009324273,0.00061603525,0.043785058,0.25700182,0
0.9964304,0.73893404,0.62404895,0.8439898,0.7194019,0.76808846,0.8997793,0.7954012,0
0.8647391,0.85370976,0.44626987,0.5953171,0.4408745,0.8385445,0.9065734,0.985988,0
0.007390054,0.029661246,0.08217487,0.015240476,0.008536316,0.026853032,0.0051711407,0.08734127,0
0.5570985,0.36660728,0.22270937,0.22072573,0.5187343,0.33888653,0.36289898,0.31406382,0
0.32491496,0.06082836,0.008914496,0.028549014,0.0052835015,0.23290882,0.07832968,0.10936709,0
0.016687794,0.010635891,0.012586993,0.035261318,0.015155369,0.018885037,0.009662146,0.0092347255,0
0.089077294,0.04803132,0.0054322993,0.20408693,0.040209994,0.12758157,0.0054058153,0.13412204,0
0.15968168,0.053219505,0.084988005,0.03402989,0.026810754,0.29291227,0.19530207,0.068190455,0
0.013693483,0.00036513116,2.7377277e-05,0.0014628462,0.00040933816,0.034253623,0.0006849728,0.0004428293,0
0.16119064,0.067631334,0.07390731,0.25436974,0.39045152,0.38946167,0.110146336,0.93097234,0
0.061251603,0.020725634,0.013129955,0.030070623,0.025035214,0.038819484,0.031009546,0.3413782,0
0.82806814,0.7319215,0.07788774,0.696631,0.26551452,0.5996108,0.1646555,0.30424896,0
0.0070845503,0.00019726889,0.00060790207,0.0018576381,0.00012252553,0.00034790937,2.2277223e-05,0.004647026,0
0.10264296,0.9540381,0.7597433,0.55902696,0.0001449869,0.6494464,0.2117518,0.6774206,0
0.41317,0.41037843,0.26186264,0.18433006,0.72314656,0.46183738,0.98123163,0.3904794,0
0.007904027,0.038005795,0.00030235416,0.09924833,3.5853736e-05,0.0005870098,2.0981257e-05,0.00017897096,0
0.0785438,0.69007456,0.15786722,0.01348127,0.45266953,0.28576234,0.3566544,0.23027164,0
0.8377663,0.48918864,0.92082447,0.14566445,0.40055582,0.44830143,0.5158403,0.64483476,0
0.060601097,0.083133824,0.07597046,0.58742404,0.33025014,0.06535834,0.61236405,0.49529722,0
0.007984402,0.024409646,0.00021737521,0.0007241682,0.004927902,0.0027459003,0.0008355231,0.00078958744,0
0.39413452,0.06791062,0.041978743,0.3172471,0.050645057,0.47101524,0.028813489,0.3793648,0
0.91692084,0.74466324,0.67390186,0.7802947,0.7748077,0.5463882,0.78727293,0.9278202,0
0.5179231,0.86765146,0.25812766,0.5410646,0.6884959,0.1684651,0.44777316,0.4490478,0
0.022956148,0.16897848,0.09194151,0.023059316,0.039567657,0.099435344,0.0006167841,0.0047911494,0
0.4632071,0.08542314,0.09567687,0.2756273,0.29819396,0.1244926,0.7297572,0.02648342,0
0.021608958,0.02433316,0.009106714,0.010262683,0.037716437,0.10123758,0.090579994,0.004533333,0
0.016398562,0.0043703336,0.0033106771,0.028024135,0.0100417035,0.026628556,0.0010222576,0.0025277874,0
0.018375691,0.0059537413,0.00039558744,0.0290479,0.0015456694,0.011967001,0.0019845436,0.0013872313,0
0.0542533,0.017270092,0.023459392,0.018595863,0.06780052,0.07322643,0.36845312,0.014655251,0
0.13912207,0.4816587,0.033373985,0.1046667,0.054141756,0.016372226,0.03272438,0.010251114,0
0.9999501,0.9999955,0.99988955,0.99886745,0.99978435,0.99940443,0.9999914,0.9999994,0
0.013948428,0.706692,0.0054392624,0.0051586498,0.02348919,0.082600586,0.007074074,0.014929972,0
0.1533719,0.022131246,0.19020303,0.061509296,0.17871687,0.019370504,0.0617668,0.51069105,0
0.011645298,0.00791633,0.0011037044,0.00455827,0.0027668048,0.009028965,0.010148518,0.00010367125,0
0.21639757,0.37269795,0.20047462,0.07465552,0.23818648,0.022551108,0.25180376,0.01852835,0
0.95848346,0.700013,0.02745691,0.20253333,0.45139867,0.9207933,0.9523469,0.8747908,0
0.77269816,0.49518877,0.43944427,0.54126644,0.5767356,0.4987264,0.6139555,0.51489156,0
0.12147836,0.0085315155,0.053648233,0.07260102,0.008834239,0.13797651,0.013330814,0.054557458,0
0.24213992,0.10426927,0.07969145,0.13340627,0.12903987,0.12410898,0.12086676,0.06326305,0
0.42853442,0.0034546228,0.065651804,0.03524877,0.032408588,0.23611979,0.17288785,0.010057732,0
0.016070103,0.013276965,0.011965715,0.028016543,0.01051084,0.33391142,0.008872964,0.0033513675,0
0.7322484,0.46870792,0.056563556,0.37817442,0.6509172,0.8247577,0.68834436,0.49019906,0
0.05123549,0.23706515,0.0012129297,0.0025316062,0.24612054,0.17216176,0.07182338,0.011182487,0
0.12725057,0.026973447,0.028488558,0.0069851093,0.18806298,0.003316316,0.022299187,0.018252706,0
0.0018425479,0.008323642,0.0024144368,0.030389119,0.00024642193,0.006700019,0.00022104154,0.025441179,0
0.48737139,0.18514295,0.50115883,0.028694762,0.35603938,0.03238904,0.03158344,0.18965447,0
0.27989593,0.04111271,0.14278165,0.6104669,0.08433698,0.51241815,0.22793962,0.1820595,0
0.11434143,0.09017701,0.006250247,0.0029477337,0.03486779,0.0764176,0.0037093316,0.020770693,0
0.15556319,0.16409591,0.045844913,0.026845235,0.24571705,0.019637803,0.13726734,0.044713207,0
0.6502625,0.6523398,0.28541875,0.8487431,0.8663413,0.4490475,0.681468,0.68012714,0
0.08253657,0.07274255,0.06709358,0.14300919,0.15975745,0.14753763,0.0543019,0.324727,0
0.22001168,0.08640297,0.07962839,0.40799788,0.2189472,0.12430408,0.33806413,0.5434109,0
0.7073522,0.7713089,0.09080912,0.15345028,0.3560521,0.029208515,0.52512455,0.5496978,0
0.14558475,0.10740056,0.09511467,0.2082099,0.093208104,0.74024904,0.3281381,0.71083677,0
0.044678677,0.0013495809,0.010367527,0.01424105,0.0069779786,0.014059218,0.0063097286,0.0075757103,0
0.0029549487,0.00014192534,0.0016084885,4.7812286e-05,0.0014319188,0.00030967643,1.32869245e-05,0.00014691448,0
0.015930407,0.0018772869,0.0001370651,0.019972183,0.0017323218,0.01690421,2.8912898e-06,0.0039024614,0
0.8260517,0.21380733,0.6527157,0.6033884,0.5157864,0.4338315,0.7224802,0.40633047,0
0.22675815,0.20752862,0.4389118,0.33376914,0.5907506,0.43589747,0.4413035,0.9120482,0
0.0029649255,0.00024842354,0.00512896,0.00016219424,0.0013844463,0.0044433987,2.3603663e-05,0.001986438,0
0.0013107732,0.0008780499,0.012424861,0.025101593,0.000115508985,0.060863536,4.4698265e-07,0.00020150903,0
0.09915375,0.913499,0.9302083,0.57361054,0.8907353,0.46068066,0.44882497,0.9190976,0
0.057660658,0.0578533,0.038164962,0.03698456,0.12692589,0.14185368,0.10987593,0.007613792,0
0.24314943,0.103073016,0.25202757,0.13911283,0.013669082,0.3523732,0.10158133,0.40567896,0
0.997766,0.59773695,0.91272664,0.97963274,0.9034392,0.9629588,0.99763876,0.99961257,0
0.45484728,0.2915377,0.0036222362,0.004618019,0.011741717,0.27609834,0.51276183,0.33975786,0
0.71851873,0.70407,0.42152178,0.5410858,0.3842123,0.15845309,0.6956676,0.8463714,0
0.0041448344,0.013127391,0.0002580935,0.0022165098,0.012081004,0.0011013072,0.0003396306,0.0077907955,0
0.017935207,0.03265917,0.0478477,0.084174916,0.048062887,0.004821572,0.0017623225,0.005517821,0
0.0575561,0.00344756,0.017448435,0.032057095,0.01029535,0.067303896,0.0019782127,0.003530447,0
0.026133569,0.007145174,0.016112216,0.04646709,0.043861505,0.024702908,0.005246422,0.01846076,0
0.022603873,0.00034564984,0.00049253646,0.015815355,0.001990329,0.00039358909,0.020048378,0.00027045386,0
0.0021679858,0.004650298,0.0028016078,0.013521922,0.003400871,0.030526407,0.030235488,0.0005817785,0
0.59658194,0.0134115415,0.13662593,0.08668795,0.04116102,0.19317721,0.18588963,0.16289754,0
0.050621018,0.10197518,0.017111376,0.037425525,0.035710964,0.12980601,0.012752071,0.030491196,0
0.030851094,0.01711972,0.105311014,0.34106088,0.0319032,0.3080801,0.0048460304,0.36729857,0
0.02172237,0.0041684564,0.0032095448,0.044003297,0.016329003,0.0030888591,0.00019004312,0.017301107,0
0.33187345,0.43358865,0.019651275,0.014871738,0.06365771,0.09434469,0.07137718,0.21075433,0
0.71349764,0.011599063,0.03845311,0.26812863,0.058048654,0.26890346,0.5393311,0.72521365,0
0.23378585,0.15613076,0.4465603,0.43728343,0.44630623,0.20544969,0.077374965,0.7205353,0
0.18224232,0.023839805,0.08910768,0.051128954,0.020963484,0.14333533,0.020819563,0.0088758245,0
0.3017687,0.8634606,0.7333037,0.25918445,0.26251513,0.46154377,0.38532105,0.048369855,0
0.9616149,0.26282445,0.11458702,0.120882355,0.17539753,0.9795198,0.17425126,0.503436,0
0.22541651,0.020725831,0.0058009285,0.072947405,0.041236687,0.020019827,0.025711177,0.05595387,0
0.10274179,0.002462584,0.023725022,0.111112185,0.059875324,0.17606263,0.0065648393,0.3529719,0
0.027680973,0.012510283,0.114043444,0.06682708,0.05212853,0.003970412,0.07841428,0.03253801,0
0.049438216,0.17642625,0.008678938,0.004350723,0.0061060204,0.018417321,0.0022230886,0.0059913755,0
0.040308148,0.056840647,0.0039303824,0.12739602,0.037125736,0.05527691,0.009826292,0.22414121,0
0.040308148,0.056840647,0.0039303824,0.12739602,0.037125736,0.05527691,0.009826292,0.22414121,0
0.8515132,0.96260023,0.46944398,0.5365448,0.11616113,0.84794676,0.6435581,0.9523599,0
0.099014536,0.21818875,0.04295588,0.02116101,0.39035654,0.26254866,0.41395697,0.019175796,0
0.08533033,0.0006881524,0.01953735,0.00708648,0.060824204,0.14599417,0.007774648,0.020873416,0
0.10116135,0.036386047,0.0066863927,0.19088982,0.04898586,0.287819,0.02294515,0.015195483,0
0.22414353,0.08802345,0.025857423,0.026299955,0.090875596,0.024455097,0.41814283,0.008353807,0
0.3816245,0.08952145,0.12252845,0.10941656,0.39671412,0.10769044,0.12445303,0.012390762,0
0.26855502,0.067122854,0.12013387,0.40237966,0.4164356,0.43181375,0.2846556,0.33885303,0
0.13316567,0.16629185,0.033502594,0.0031811027,0.0050460007,0.095355645,0.2813526,0.042067565,0
0.865211,0.9763053,0.99927104,0.94164616,0.9952506,0.98396176,0.99978185,0.9985379,0
0.522032,0.50865644,0.026265442,0.72753507,0.09423031,0.81126803,0.5107025,0.6023207,0
0.10401278,0.024382886,0.08705421,0.22685409,0.192531,0.029836707,0.0064369245,0.2814786,0
0.22481301,0.1712452,0.29115126,0.1026281,0.4692912,0.082196355,0.7020619,0.8923661,0
0.002963418,0.0111211855,0.014271646,0.0023642436,0.08329314,0.008705452,0.007799126,0.016459458,0
0.53213125,0.15346012,0.3481584,0.14167573,0.0905248,0.4215654,0.469323,0.21197289,0
0.53213125,0.15346012,0.3481584,0.14167573,0.0905248,0.4215654,0.469323,0.21197289,0
0.27361324,0.33043662,0.05927325,0.096595325,0.020111522,0.06274082,0.53140205,0.06093538,0
0.09689001,0.009643953,0.09732586,0.26826704,0.1312481,0.119879834,0.016163979,0.21479489,0
0.6886928,0.13512917,0.46717253,0.5349226,0.6769749,0.45293298,0.2957837,0.19612768,0
0.5440307,0.06072811,0.14699744,0.46556985,0.117545016,0.30504256,0.0005837852,0.14231548,0
0.75847256,0.031798176,0.3820029,0.11655561,0.1928061,0.5601624,0.22926323,0.49129283,0
0.18118091,0.15745582,0.17052144,0.008506487,0.123374015,0.05333609,0.35784662,0.3358023,0
0.116335906,0.058970027,0.004632118,0.13103025,0.00084217545,0.010372345,0.007514197,0.0047372,0
0.08176659,0.41296628,0.011807362,0.050331876,0.010884715,0.100152574,0.008215815,0.0007376859,0
0.2543244,0.0582632,0.11921881,0.075060606,0.14349231,0.011905561,0.014354945,0.2420522,0
0.31370208,0.029535003,0.105296195,0.006715748,0.03541871,0.053612955,0.0005300508,0.2473242,0
0.30854926,0.0018239667,0.004933253,0.051361248,0.0072730137,0.012141466,0.007812705,0.02341589,0
0.01939059,0.0040664976,0.0023673726,0.0024980016,0.0012076648,0.057112843,0.0002904916,0.001394442,0
0.0582268,0.03563019,0.010174503,0.0048721754,0.026934646,0.19792429,0.0710444,0.07889963,0
0.70114565,0.4895802,0.03635603,0.12529664,0.017405085,0.88806504,0.1700881,0.14080614,0
0.5836811,0.6901577,0.17932844,0.61375105,0.8027199,0.47681406,0.505979,0.47413287,0
0.49924794,0.40815136,0.047335606,0.65005165,0.2641639,0.77548045,0.4669597,0.4098386,0
0.87627506,0.23237655,0.03675632,0.06629332,0.17428517,0.1627333,0.4182741,0.42102796,0
0.9790445,0.75235045,0.94182545,0.961154,0.6865194,0.88713294,0.9987553,0.97053975,0
0.16183405,0.0077339425,0.0051226383,0.0083379615,0.0028376754,0.002015932,0.00018614996,0.02780759,0
0.019706298,0.15285638,0.003366593,0.0071957395,0.11047635,0.030230982,0.16972198,0.059885103,0
0.19392358,0.053287152,0.40229368,0.05199659,0.26376998,0.017267656,0.013969549,0.09224998,0
0.57664645,0.12290226,0.05804659,0.0951315,0.19977234,0.12176867,0.027966859,0.22623494,0
0.002524111,0.007787272,0.005402484,0.0082355095,0.0015771127,0.0022444713,7.905832e-05,0.000970651,0
0.020263506,0.0002026012,7.1167466e-05,0.0070743114,0.0013592641,0.0028150347,0.00091995724,0.001116589,0
0.14847568,0.04003795,0.13854373,0.119408,0.020860292,0.42356342,0.627869,0.2671692,0
0.14847568,0.04003795,0.13854373,0.119408,0.020860292,0.42356342,0.627869,0.2671692,0
0.56169206,0.6657976,0.14490068,0.2850667,0.054451317,0.8910383,0.19121583,0.22506699,0
0.17027786,0.00088567956,0.004041368,0.05932656,0.016612206,0.05083981,0.006501725,0.025808485,0
0.19448806,0.0016645103,0.10120738,0.00673155,0.034340385,0.044802442,0.004637336,0.05683542,0
0.20621517,0.00029027316,5.0699513e-05,0.59070635,0.010894704,0.027161095,0.0072244657,0.32228136,0
0.008808906,2.9469562e-05,0.002440597,0.000938729,0.0017422977,0.00033337416,0.00021492093,0.06146441,0
0.01026541,0.0022584046,0.0020733776,0.0008287378,0.0038805802,0.0046257908,0.0010026572,0.005030646,0
0.100203246,0.05442963,0.18692622,0.09919171,0.044751115,0.17560995,0.21479581,0.27382994,0
0.29689148,0.020703765,0.016170416,0.020499187,0.05956085,0.08413973,0.008777532,0.11360479,0
0.90271205,0.9039163,0.9103067,0.81622714,0.38983643,0.6177722,0.5736786,0.9327406,0
0.10826719,0.09913271,0.34358475,0.032540966,0.29385623,0.06590668,0.13309252,0.73569316,0
0.82673556,0.09097777,0.0003215417,0.0049020667,0.17786042,0.107777655,0.0015601611,0.11406149,0
0.100017466,0.016451184,0.23354657,0.029749785,0.037690945,0.4312844,0.0005423343,0.024368506,0
0.21859597,0.025982752,0.018463219,0.2519478,0.009864376,0.114914924,0.28033072,0.028598594,0
0.31626105,0.1065023,0.31525272,0.43128556,0.083531044,0.41716945,0.24016067,0.78696936,0
0.31626105,0.1065023,0.31525272,0.43128556,0.083531044,0.41716945,0.24016067,0.78696936,0
0.15615265,0.004786584,0.017695837,0.008945074,0.28217694,0.22937883,0.013973859,0.18104099,0
0.01934507,0.14557138,0.07551285,0.042089485,0.03606087,0.05504502,0.046804268,0.119402,0
0.83215034,0.56117725,0.9131241,0.7042967,0.89762706,0.91690135,0.9998312,0.8761255,0
0.62794936,0.9059187,0.63448566,0.6335645,0.52855927,0.9974776,0.71149945,0.36305824,0
0.031438753,0.00037813673,4.771982e-05,0.03319073,0.00047987673,0.0025374398,1.38289815e-05,0.00011008053,0
0.12777485,0.0084182415,0.0274861,0.011328855,0.021306152,0.016201587,0.0033266065,0.002194926,0
0.23649862,0.013311024,0.0036213566,0.10231024,0.0024576553,0.6071518,0.013711565,0.49495342,0
0.94218826,0.28757945,0.20381323,0.06446862,0.2280347,0.4399081,0.10034771,0.14846602,0
0.7297218,0.03312879,0.2542355,0.3378746,0.027219122,0.43854523,0.0058698948,0.077839494,0
0.29023147,0.6623081,0.15241872,0.035552807,0.116555415,0.24993885,0.38571823,0.21584697,0
0.065834805,0.06904664,0.0019492436,0.04627077,0.019945122,0.0060710106,0.022775203,0.025228735,0
0.2225702,0.5236499,0.20637396,0.48293918,0.24106427,0.072430976,0.5260025,0.48940733,0
0.21004805,0.037641663,0.033728655,0.1304921,0.26334143,0.10679299,0.034204658,0.21778516,0
0.13851383,0.015247784,0.0020457073,0.012229271,0.0075242175,0.06624252,0.00036925086,0.027075442,0
0.08366723,0.06113289,0.07158321,0.10375328,0.24314643,0.6843425,0.34257308,0.43184984,0
0.7415749,0.22534868,0.8191196,0.47943723,0.42048654,0.9857596,0.8289196,0.2833951,0
0.17271829,0.3231128,0.43398193,0.4452769,0.13216388,0.15008293,0.6043403,0.06891382,0
0.019531058,0.0006919667,0.00038478404,0.0019054282,0.0042827423,0.027388321,0.0033199715,0.0042325095,0
0.6174313,0.8493487,0.35348797,0.45386335,0.84795237,0.12234872,0.15409593,0.79388607,0
0.06563973,0.007015837,0.008690001,0.0052287825,0.0045981454,0.023606464,0.00019315569,0.16573921,0
0.5759097,0.42409527,0.060459394,0.66147393,0.30539808,0.689865,0.046819255,0.16953968,0
0.5622971,0.2996968,0.51857376,0.08908465,0.1516305,0.39079797,0.24980849,0.23338524,0
0.24621168,0.15329424,0.31858587,0.049310256,0.5866083,0.18691398,0.18879601,0.30249757,0
0.08777839,0.0032214124,0.01462146,0.03356778,0.04799553,0.18720719,0.07949325,0.06269243,0
0.8163787,0.22941677,0.9121175,0.16417205,0.54902834,0.9187968,0.93442357,0.9387943,0
0.8163787,0.22941677,0.9121175,0.16417205,0.5490283,0.9187968,0.9344236,0.9387943,0
0.056817196,0.2619609,0.03277554,0.049339086,0.022785664,0.034266803,0.020859577,0.026502674,0
0.47811213,0.95333016,0.13267843,0.11392616,0.51437765,0.35501546,0.06840038,0.07781787,0
0.048616942,0.04490506,0.033935692,0.1100652,0.10207151,0.031479828,0.014039428,0.45468393,0
0.3446279,0.21233496,0.11979538,0.07434451,0.043061398,0.16926007,0.013622623,0.038559634,0
0.46222827,0.018919718,0.2483711,0.13034183,0.05379378,0.46919295,0.36405706,0.9024228,0
0.4015577,0.009671052,0.02084408,0.076139666,0.07484484,0.3218729,0.10622654,0.038039353,0
0.0881004,0.04513525,0.032372415,0.030182838,0.21838488,0.17484295,0.4624049,0.108066134,0
0.36335462,0.18501432,0.5397797,0.031611737,0.6495901,0.059426624,0.067246646,0.6231227,0
0.53030366,0.07550346,0.13928421,0.3256017,0.057812583,0.18050118,0.13031724,0.75604224,0
0.09285272,0.34650627,0.06726313,0.05604176,0.054569982,0.043962397,0.29932213,0.024659641,0
0.21602283,0.1830298,0.23164919,0.120026946,0.37932217,0.054538276,0.09203594,0.6320923,0
0.17900409,0.6174443,0.083819345,0.21554603,0.065713726,0.14067362,0.15834714,0.29055077,0
0.0310517,0.014439727,0.1269469,0.09596583,0.20195173,0.10153748,0.042445213,0.042245526,0
0.9034076,0.9002008,0.8146272,0.6399168,0.7230914,0.5563924,0.8940255,0.9258906,0
0.33663878,0.10379188,0.34947583,0.4298688,0.12735002,0.2282513,0.1112273,0.1786858,0
0.567817,0.6448014,0.08129952,0.28040087,0.94996506,0.8421654,0.6505412,0.9856434,0
0.027946431,0.1603585,0.044600047,0.205179,0.013259262,0.15085812,0.63628834,0.17009163,0
0.5522052,0.39376426,0.7691348,0.31867474,0.82791,0.57152367,0.7861897,0.5922859,0
0.6317064,0.06810251,0.23949865,0.64924186,0.029502664,0.51458085,0.36104742,0.5536983,0
0.9796763,0.8551389,0.9915512,0.65856934,0.9560687,0.9469673,0.917801,0.9876778,0
0.0073976517,0.10533948,0.073080644,0.0015972682,0.015114514,0.03457035,0.0020270785,0.09322825,0
0.00015358627,1.7674336e-06,2.850819e-06,0.00036630593,8.40079e-05,0.00023248658,1.4766754e-08,0.00043182902,0
0.24495539,0.052391753,0.009139228,0.025474083,0.12214471,0.013782784,0.069152124,0.099980146,0
0.012935971,0.06700176,0.0070920917,0.015505293,0.016161853,0.12527142,0.0011836761,0.014519066,0
0.1863946,0.34808856,0.016523518,0.04406322,0.0052258614,0.041134607,0.010536806,0.008665369,0
0.08909531,0.016238922,0.06915277,0.013733784,0.039708514,0.031166177,0.24843837,0.18917292,0
0.83300734,0.5061586,0.37300155,0.67841744,0.611212,0.7345366,0.9297279,0.9225951,0
0.016499352,0.065649614,0.015260162,0.021112712,0.019356543,0.0010563632,0.01204707,0.006680154,0
0.28181547,0.09353089,0.026412498,0.0033728515,0.022127127,0.09847363,0.009768508,0.119634405,0
0.79800284,0.615562,0.88111436,0.15470845,0.3713891,0.7309575,0.873771,0.60477996,0
0.13168633,0.12404868,0.12050438,0.026529532,0.17147018,0.0907119,0.003902893,0.024523532,0
0.1164316,0.5359591,0.2343881,0.36294436,0.29107365,0.041666925,0.16578475,0.23143159,0
0.34153417,0.5490237,0.050384115,0.045751005,0.41306427,0.09949009,0.18627329,0.58842546,0
0.40830094,0.19522777,0.00094760366,0.05925974,0.0021129728,0.004536868,0.0006696147,0.5901723,0
0.59358996,0.5362842,0.10621502,0.6203887,0.7559733,0.1957068,0.026365386,0.57446206,0
0.092391044,0.010995873,0.003314411,0.0035214934,0.017774154,0.015260032,0.010312344,0.17571133,0
0.28859597,0.01623003,0.14578031,0.0019021536,0.037202418,0.008246831,0.53331846,0.066705756,0
0.43899503,0.87508774,0.7105001,0.14908716,0.75572276,0.71753836,0.4152754,0.7765478,0
0.01816768,0.0016613533,0.0002516365,0.0072159446,0.0006056521,0.0013982953,0.0007719793,0.0030955458,0
0.16477607,0.037639808,0.07274818,0.37119395,0.16537271,0.073532954,0.10226077,0.30241272,0
0.5628102,0.24203444,0.9498426,0.4440345,0.46287426,0.4449776,0.5842779,0.7691393,0
0.01490841,0.005586769,0.0026834707,0.13714038,0.0022831333,0.079171285,0.011450967,0.0011127949,0
0.18647121,0.43826255,0.39580667,0.08418372,0.3059769,0.120015055,0.02676469,0.10137378,0
0.06696204,0.005666028,0.035013624,0.010125628,0.0011364173,0.008401974,0.0029691856,0.00208895,0
0.17903167,0.06844247,0.21989615,0.17251734,0.09945355,0.0660923,0.05175528,0.120012425,0
0.030149017,0.0015905843,0.019467304,0.0034146346,0.0003343252,0.0002534957,5.6160326e-05,0.118911125,0
0.7625095,0.023277208,0.68713474,0.75299096,0.072557166,0.4979899,0.3373444,0.060499933,0
